Time,RightACC,RightEMGext
0.213,2.47331,-3.41965
0.214,2.47331,-1.22184
0.215,2.47331,0.243358
0.216,2.47331,0.243358
0.217,2.47331,-1.22184
0.218,2.47331,-1.95444
0.219,2.47331,-3.41965
0.22,2.47331,-3.41965
0.221,2.47331,-3.92465
0.222,2.47331,-3.92465
0.223,2.47331,-3.19205
0.224,2.47331,-3.19205
0.225,2.47331,-3.92465
0.226,2.47331,-3.41965
0.227,2.47331,-1.95444
0.228,2.47331,-1.95444
0.229,2.47331,-3.92465
0.23,1.2526,-3.92465
0.231,1.2526,-2.45945
0.232,1.2526,-2.45945
0.233,1.2526,-3.92465
0.234,1.2526,-3.41965
0.235,1.2526,-0.994249
0.236,1.2526,0.470953
0.237,1.2526,-3.41965
0.238,1.2526,-2.68705
0.239,1.2526,-3.92465
0.24,1.2526,-3.41965
0.241,0.031901,-3.19205
0.242,0.031901,-3.19205
0.243,0.031901,-3.19205
0.244,0.031901,-3.19205
0.245,0.031901,-3.41965
0.246,0.031901,-2.68705
0.247,0.031901,-3.19205
0.248,0.031901,-2.45945
0.249,0.031901,-3.19205
0.25,0.031901,-2.68705
0.251,0.031901,-0.489243
0.252,0.031901,-0.489243
0.253,0.031901,-3.19205
0.254,0.031901,-1.72685
0.255,0.031901,-0.994249
0.256,0.031901,0.470953
0.257,0.031901,0.470953
0.258,-1.1888,1.20355
0.259,-1.1888,-2.68705
0.26,-1.1888,-0.489243
0.261,-1.1888,-3.41965
0.262,-1.1888,-3.41965
0.263,-1.1888,3.90636
0.264,-1.1888,5.37156
0.265,-1.1888,9.03457
0.266,-1.1888,11.2324
0.267,-1.1888,3.90636
0.268,-2.40951,-0.994249
0.269,-2.40951,9.26216
0.27,-2.40951,9.26216
0.271,-2.40951,11.46
0.272,-2.40951,9.26216
0.273,-2.40951,-0.261648
0.274,-2.40951,-3.41965
0.275,-2.40951,0.975958
0.276,-2.40951,-1.95444
0.277,-2.40951,9.26216
0.278,-2.40951,-3.92465
0.279,-2.40951,-2.45945
0.28,-2.40951,-0.994249
0.281,-2.40951,9.76717
0.282,-2.40951,11.2324
0.283,-2.40951,6.83676
0.284,-2.40951,6.10416
0.285,-2.40951,4.63896
0.286,-2.40951,-0.994249
0.287,-2.40951,9.99476
0.288,-2.40951,12.1926
0.289,-2.40951,-0.261648
0.29,-2.40951,-0.489243
0.291,-2.40951,6.10416
0.292,-2.40951,-3.19205
0.293,-2.40951,0.975958
0.294,-2.40951,3.17376
0.295,-1.1888,-0.261648
0.296,-1.1888,-0.994249
0.297,-2.40951,-3.92465
0.298,-2.40951,-1.22184
0.299,-2.40951,5.37156
0.3,-2.40951,7.56937
0.301,-2.40951,9.26216
0.302,-2.40951,10.7274
0.303,-2.40951,-0.489243
0.304,-2.40951,0.243358
0.305,-2.40951,4.13396
0.306,-2.40951,4.13396
0.307,-2.40951,1.70856
0.308,-2.40951,4.63896
0.309,-2.40951,7.56937
0.31,-2.40951,14.1628
0.311,-2.40951,9.26216
0.312,-2.40951,7.79696
0.313,-2.40951,-3.41965
0.314,-2.40951,8.52956
0.315,-2.40951,0.470953
0.316,-2.40951,-0.261648
0.317,-2.40951,-0.994249
0.318,-2.40951,-3.19205
0.319,-3.63021,-3.41965
0.32,-3.63021,-3.92465
0.321,-3.63021,-0.489243
0.322,-3.63021,-2.68705
0.323,-3.63021,-1.22184
0.324,-3.63021,-1.22184
0.325,-3.63021,4.13396
0.326,-2.40951,2.66876
0.327,-2.40951,-2.68705
0.328,-2.40951,0.243358
0.329,-2.40951,-3.92465
0.33,-2.40951,-3.92465
0.331,-2.40951,-1.22184
0.332,-2.40951,-0.489243
0.333,-2.40951,0.243358
0.334,-2.40951,0.975958
0.335,-2.40951,2.44116
0.336,-1.1888,3.17376
0.337,-1.1888,-1.22184
0.338,-1.1888,-3.41965
0.339,-1.1888,-0.489243
0.34,-1.1888,0.243358
0.341,0.031901,4.13396
0.342,0.031901,4.13396
0.343,0.031901,-1.72685
0.344,0.031901,-0.489243
0.345,0.031901,6.10416
0.346,0.031901,11.2324
0.347,0.031901,4.13396
0.348,1.2526,4.13396
0.349,1.2526,-3.19205
0.35,1.2526,-2.45945
0.351,1.2526,1.93615
0.352,1.2526,-0.261648
0.353,1.2526,3.90636
0.354,1.2526,3.90636
0.355,1.2526,-1.22184
0.356,1.2526,-2.68705
0.357,1.2526,3.17376
0.358,1.2526,0.243358
0.359,1.2526,7.79696
0.36,1.2526,1.20355
0.361,1.2526,-0.994249
0.362,1.2526,-3.41965
0.363,1.2526,0.243358
0.364,1.2526,3.17376
0.365,1.2526,-3.92465
0.366,1.2526,-3.19205
0.367,1.2526,-0.489243
0.368,1.2526,0.975958
0.369,1.2526,3.17376
0.37,1.2526,1.70856
0.371,1.2526,-0.489243
0.372,1.2526,-1.95444
0.373,1.2526,-3.92465
0.374,1.2526,-1.72685
0.375,1.2526,0.470953
0.376,1.2526,0.470953
0.377,1.2526,-1.22184
0.378,1.2526,0.243358
0.379,1.2526,2.44116
0.38,1.2526,2.44116
0.381,1.2526,0.243358
0.382,1.2526,-3.41965
0.383,1.2526,-0.994249
0.384,1.2526,-0.994249
0.385,1.2526,-3.41965
0.386,1.2526,-3.41965
0.387,1.2526,-2.68705
0.388,1.2526,-3.41965
0.389,1.2526,-3.19205
0.39,1.2526,-3.19205
0.391,1.2526,-3.19205
0.392,1.2526,-3.19205
0.393,1.2526,-3.19205
0.394,1.2526,-2.45945
0.395,1.2526,-3.41965
0.396,1.2526,-2.68705
0.397,1.2526,-1.95444
0.398,1.2526,-1.95444
0.399,1.2526,-0.489243
0.4,1.2526,-0.489243
0.401,1.2526,-1.95444
0.402,1.2526,-1.95444
0.403,1.2526,-0.489243
0.404,1.2526,-1.22184
0.405,1.2526,-3.92465
0.406,2.47331,-1.72685
0.407,2.47331,0.470953
0.408,2.47331,1.93615
0.409,2.47331,-0.994249
0.41,2.47331,-1.72685
0.411,2.47331,-3.92465
0.412,2.47331,-3.41965
0.413,2.47331,-1.95444
0.414,2.47331,-1.22184
0.415,2.47331,0.243358
0.416,2.47331,1.70856
0.417,2.47331,-3.41965
0.418,2.47331,-3.41965
0.419,2.47331,0.243358
0.42,2.47331,0.243358
0.421,2.47331,-0.489243
0.422,2.47331,-3.41965
0.423,2.47331,-1.72685
0.424,2.47331,-2.45945
0.425,2.47331,-0.994249
0.426,2.47331,-0.994249
0.427,2.47331,-2.45945
0.428,2.47331,-0.994249
0.429,2.47331,-1.72685
0.43,2.47331,-3.92465
0.431,1.2526,-3.41965
0.432,1.2526,-3.41965
0.433,1.2526,-2.68705
0.434,1.2526,-1.22184
0.435,1.2526,-1.22184
0.436,1.2526,-1.22184
0.437,1.2526,-3.19205
0.438,0.031901,-2.45945
0.439,0.031901,-1.72685
0.44,0.031901,0.470953
0.441,0.031901,-2.45945
0.442,0.031901,-3.41965
0.443,0.031901,-1.22184
0.444,0.031901,-1.22184
0.445,0.031901,-3.41965
0.446,0.031901,-3.19205
0.447,0.031901,-2.45945
0.448,0.031901,-3.92465
0.449,0.031901,-3.41965
0.45,0.031901,-3.41965
0.451,-1.1888,-2.68705
0.452,-1.1888,2.44116
0.453,-1.1888,6.10416
0.454,-1.1888,6.83676
0.455,-1.1888,1.70856
0.456,-1.1888,-2.68705
0.457,-1.1888,-2.45945
0.458,-1.1888,0.470953
0.459,-1.1888,6.33176
0.46,-2.40951,11.46
0.461,-2.40951,-0.261648
0.462,-2.40951,-3.19205
0.463,-2.40951,0.470953
0.464,-2.40951,0.470953
0.465,-2.40951,-1.22184
0.466,-2.40951,-1.95444
0.467,-2.40951,-0.994249
0.468,-2.40951,0.470953
0.469,-2.40951,2.66876
0.47,-2.40951,0.470953
0.471,-2.40951,6.10416
0.472,-2.40951,6.83676
0.473,-1.1888,-3.19205
0.474,-1.1888,-2.45945
0.475,-1.1888,0.975958
0.476,-1.1888,-1.22184
0.477,-2.40951,11.46
0.478,-2.40951,4.13396
0.479,-2.40951,0.243358
0.48,-2.40951,0.975958
0.481,-2.40951,11.2324
0.482,-2.40951,11.2324
0.483,-3.63021,4.63896
0.484,-3.63021,0.243358
0.485,-3.63021,-3.41965
0.486,-3.63021,6.33176
0.487,-3.63021,20.2512
0.488,-3.63021,6.33176
0.489,-3.63021,0.243358
0.49,-3.63021,0.243358
0.491,-3.63021,4.13396
0.492,-3.63021,3.40136
0.493,-3.63021,-3.19205
0.494,-2.40951,-1.22184
0.495,-2.40951,11.46
0.496,-2.40951,9.26216
0.497,-2.40951,13.6578
0.498,-2.40951,14.3904
0.499,-2.40951,15.628
0.5,-1.1888,26.617
0.501,-1.1888,-1.22184
0.502,-1.1888,-1.22184
0.503,-1.1888,17.0932
0.504,-1.1888,-2.68705
0.505,-1.1888,0.470953
0.506,0.031901,-2.45945
0.507,0.031901,11.2324
0.508,0.031901,11.2324
0.509,0.031901,0.975958
0.51,0.031901,0.975958
0.511,0.031901,-1.22184
0.512,0.031901,4.13396
0.513,0.031901,-1.22184
0.514,0.031901,-1.22184
0.515,0.031901,20.2512
0.516,0.031901,20.2512
0.517,0.031901,4.13396
0.518,0.031901,1.20355
0.519,0.031901,-3.19205
0.52,0.031901,-3.19205
0.521,0.031901,-3.41965
0.522,0.031901,-3.92465
0.523,0.031901,4.13396
0.524,-1.1888,-0.261648
0.525,-1.1888,2.44116
0.526,-1.1888,-3.19205
0.527,-1.1888,-1.95444
0.528,-1.1888,-3.19205
0.529,-2.40951,-1.22184
0.53,-2.40951,8.30197
0.531,-2.40951,-3.19205
0.532,-2.40951,4.13396
